"61355	01 Jul 21	00:00:00	1	0 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61356	01 Jul 21	00:01:00	1	0 ",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61357	01 Jul 21	00:02:00	1	2 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61358	01 Jul 21	00:03:00	1	0 ",0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61359	01 Jul 21	00:04:00	1	0 ",0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61360	01 Jul 21	00:05:00	1	0 ",0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61361	01 Jul 21	00:06:00	1	0 ",0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61362	01 Jul 21	00:07:00	1	0 ",0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61363	01 Jul 21	00:08:00	1	0 ",0,3,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61364	01 Jul 21	00:09:00	1	0 ",2,0,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61365	01 Jul 21	00:10:00	1	0 ",3,0,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61366	01 Jul 21	00:11:00	1	0 ",1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61367	01 Jul 21	00:12:00	1	0 ",9,0,5,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61368	01 Jul 21	00:13:00	1	0 ",0,3,1,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61369	01 Jul 21	00:14:00	1	0 ",0,4,1,0,0,16,10,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61370	01 Jul 21	00:15:00	1	0 ",1,0,10,0,0,15,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61371	01 Jul 21	00:16:00	1	0 ",1,4,3,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61372	01 Jul 21	00:17:00	1	0 ",7,2,3,0,18,14,12,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61373	01 Jul 21	00:18:00	1	1 ",0,0,1,0,3,11,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"61374	01 Jul 21	00:19:00	1	0 ",0,0,2,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61375	01 Jul 21	00:20:00	1	0 ",0,3,1,0,0,4,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"61376	01 Jul 21	00:21:00	1	0 ",0,2,12,0,0,4,18,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61377	01 Jul 21	00:22:00	1	0 ",0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61378	01 Jul 21	00:23:00	1	0 ",0,4,6,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61379	01 Jul 21	00:24:00	1	0 ",0,0,6,0,0,9,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61380	01 Jul 21	00:25:00	1	0 ",3,0,1,0,0,2,14,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
